SID,DID,Source,Destination,Passengers,Seats,Flights,Distance,Date,SPopulation,DPopulation
LAX,MIA,"Los Angeles, CA","Miami, FL",5492,9570,33,2342,199010,22585772,8149380
DCA,MIA,"Washington, DC","Miami, FL",8486,13800,92,920,199012,8270942,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",4489,7209,27,2342,199002,22585772,8149380
DCA,MIA,"Washington, DC","Miami, FL",44,146,1,920,199005,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",3168,4559,47,920,199012,8270942,8149380
IAD,MIA,"Washington, DC","Miami, FL",4560,8673,59,921,199004,8270942,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",6032,10933,29,2342,199010,22585772,8149380
DCA,MIA,"Washington, DC","Miami, FL",466,819,7,920,199012,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",44,99,1,920,199004,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",9464,13475,93,920,199012,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",5582,8973,64,920,199012,8270942,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",234,413,1,2342,199010,22585772,8149380
DCA,MIA,"Washington, DC","Miami, FL",5410,9713,65,920,199004,8270942,8149380
IAD,MIA,"Washington, DC","Miami, FL",1386,3456,27,921,199009,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",120,370,2,920,199005,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",88,120,1,920,199004,8270942,8149380
IAD,MIA,"Washington, DC","Miami, FL",186,1300,13,921,199004,8270942,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",7686,10175,55,2342,199002,22585772,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",3968,5487,31,2342,199010,22585772,8149380
DCA,MIA,"Washington, DC","Miami, FL",7963,13478,93,920,199005,8270942,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",5378,7106,28,2342,199002,22585772,8149380
DCA,MIA,"Washington, DC","Miami, FL",3528,8700,58,920,199006,8270942,8149380
IAD,MIA,"Washington, DC","Miami, FL",64,145,1,921,199010,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",10751,22611,151,920,199005,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",11837,22052,148,920,199006,8270942,8149380
DCA,MIA,"Washington, DC","Miami, FL",7158,12767,88,920,199006,8270942,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",4116,8120,28,2342,199002,22585772,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",0,0,1,2342,199001,22585772,8149380
LAX,MIA,"Los Angeles, CA","Miami, FL",6621,10695,28,2342,199002,22585772,8149380
IAD,MIA,"Washington, DC","Miami, FL",3367,6649,61,921,199010,8270942,8149380
GNV,MIA,"Gainesville, FL","Miami, FL",2208,5430,85,295,199006,192012,8149380
IAD,MIA,"Washington, DC","Miami, FL",5403,9047,83,921,199008,8270942,8149380
GNV,MIA,"Gainesville, FL","Miami, FL",1612,4096,62,295,199001,192012,8149380
IAD,MIA,"Washington, DC","Miami, FL",3060,3968,31,921,199003,8270942,8149380
IAD,MIA,"Washington, DC","Miami, FL",2594,6528,51,921,199010,8270942,8149380
GNV,MIA,"Gainesville, FL","Miami, FL",453,3328,26,295,199001,192012,8149380
