SID,DID,Source,Destination,Passengers,Seats,Flights,Distance,Date,SPopulation,DPopulation
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,3,21,200507,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200508,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",329,474,2,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",404,533,2,21,200505,5443159,10886318
FXE,MIA,"Fort Lauderdale, FL","Miami, FL",0,62,1,29,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",11,19,1,21,200504,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",299,395,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,132,2,21,200506,5443159,10886318
FLL,OPF,"Fort Lauderdale, FL","Miami, FL",0,0,1,14,200507,5443159,10886318
CLL,MIA,"College Station, TX","Miami, FL",0,173,1,1034,200501,196445,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",65,155,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,173,1,21,200501,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200503,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",287,351,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",49,90,3,21,200503,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",15,64,1,21,200507,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,2,21,200501,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",24,120,4,21,200508,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",124,148,1,21,200508,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",140,142,1,21,200503,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",175,188,1,21,200503,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",260,267,1,21,200503,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,173,1,21,200507,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",48,148,1,21,200506,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",362,376,2,21,200506,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",7,90,3,21,200506,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,173,1,21,200507,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",51,130,2,21,200506,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",46,142,1,21,200503,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200506,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",376,446,2,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200506,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",157,173,1,21,200503,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",18,19,1,21,200501,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",71,124,1,21,200511,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200511,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,30,1,21,200509,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200511,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",200,267,1,21,200512,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200512,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200511,5443159,10886318
FLL,MPB,"Fort Lauderdale, FL","Miami, FL",112,238,14,38,200512,5443159,10886318
FLL,MPB,"Fort Lauderdale, FL","Miami, FL",116,204,12,38,200511,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",70,188,1,21,200510,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",218,235,1,21,200510,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200502,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,2,21,200509,5443159,10886318
FLL,OPF,"Fort Lauderdale, FL","Miami, FL",0,0,1,14,200511,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,50,1,21,200510,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,190,3,21,200510,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,4,21,200510,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200510,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",81,150,1,21,200510,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200509,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",27,38,2,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",24,30,1,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,37,62,200503,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",155,173,1,62,200503,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",134,138,1,62,200503,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,37,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200503,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",398,534,2,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",371,472,2,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",907,1036,7,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",257,267,1,62,200503,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",344,376,2,62,200503,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",78,170,1,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",112,126,1,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",270,288,2,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",92,124,1,62,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200504,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",143,144,1,62,200503,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",86,148,1,62,200507,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200507,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,36,62,200508,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200508,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",105,126,1,62,200504,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",16,120,1,62,200502,5443159,10886318
CHO,MIA,"Charlottesville, VA","Miami, FL",133,173,1,858,200511,187823,10886318
SLC,MIA,"Salt Lake City, UT","Miami, FL",1693,1950,13,2088,200512,1044845,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,33,62,200504,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200504,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,30,62,200501,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",94,148,1,62,200511,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,27,62,200511,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",117,183,1,62,200511,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,16,62,200512,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,173,1,62,200510,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",205,444,3,62,200510,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,31,62,200507,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200507,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,400,1,21,200504,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",355,432,3,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200501,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,1,62,200509,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,32,62,200509,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,32,62,200510,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",187,188,1,62,200508,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",256,267,1,62,200508,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",71,120,1,21,200506,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,30,62,200502,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200507,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",408,564,3,21,200505,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",121,267,1,62,200505,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",335,413,2,62,200505,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",450,564,3,62,200505,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",160,290,2,62,200505,5443159,10886318
PBI,MIA,"West Palm Beach, FL","Miami, FL",0,0,34,62,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",17,150,5,21,200507,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,66,1,21,200505,5443159,10886318
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",0,0,1,21,200507,5443159,10886318
JAX,MIA,"Jacksonville, FL","Miami, FL",0,0,1,334,200511,1248524,10886318
ACY,MIA,"Atlantic City, NJ","Miami, FL",0,346,2,998,200503,268318,10886318
PHL,MIA,"Philadelphia, PA","Miami, FL",114,120,1,1013,200507,11701242,10886318
PHL,MIA,"Philadelphia, PA","Miami, FL",50,59,1,1013,200503,11701242,10886318
