ID,level,question,type,answer,points
1,1,"For travelling from the east coast of US, year 2000 had the highest number of flights",3,0,1
2,1,"For flights from the west coast of US, the highest number of passengers occurred in 2008",3,1,1
3,1,"For travelling from the west coast of US, year 1992 had the highest number of flights",2,0,1
4,1,"Passengers from Honolulu, Hawaii decreased since 2000 (overall)",3,1,1
5,1,"Since 2005, Atlanta had the highest number of Passengers",2,1,1
6,1,"Between 1996-2000, Houston had the highest number of flights",2,0,1
7,1,"Since 2004, there were more than 20 million passengers travelling from Atlanta",1,1,1
8,1,"After 2001, there was a drop in number of flights and passengers from New York",2,1,1
9,1,"Among the flights which offered more than 1M seats, Atlanta served the highest number of passengers",3,0,1
10,1,Flight and passenger charts almost follow similar trends ,6,1,1
11,1,Among cities with more than 20 million population New York leads on all statistics ,2,0,1
12,1,"Before 1996, passengers from Los Angeles travelled the most distance (at average)",3,0,1
13,2,"Since 2006, Washington DC had the highest number of flights from east coast",3,1,2
14,2,"Since 2006, New York had the highest number of passengers from east coast",3,0,2
15,2,"Among cities with less than 10 million population serving more than 10000 flights, Pheonix had the highest number of passengers",2,1,2
16,2,"Among cities with more than 1 million passengers since 2007, Atlanta had the highest number of flights",2,0,2
17,2,"Since 2006, San Francisco had the more flights serving long ditances (>2500 miles) than New York",3,1,2
18,2,"Since 2000, Chicago has the highest number of flights providing more than 1 million seats",2,0,2
19,2,"Honolulu and Dallas are the only cities with long distance flights (>3000 miles) serving more than 220,000 passengers",2,1,2
20,2,Washigton DC and New York are the only cities in the east coast serving more than 1 million passengers,2,0,2
21,2,"Among cities providing over 4000 long distance flights (>2500 miles), there were more passengers travelling from LA than from San Francisco",2,1,2
22,2,"Between 2001-2003, to travel from east coast, Baltimore MD had more flights than Newark",2,0,2
23,2,"For flights from Hawaii before 2000, Honolulu had the highest number of flights",2,1,2
24,2,"Since 2000, San Francisco had the highest number of passengers travelling from California",2,0,2
25,3,"For travelling long distances (>2000 miles) from Texas after 2005, Houston offers the most flights ",3,1,3
26,3,"Among highly populated cities (> 20 million) serving long distances (>2,500) and offering more than 2 million seats, New York serves most passengers",3,0,3
27,3,There are more long distance (>2500 miles) flights from LA after 2000 than before,5,1,3
28,3,The average distance from Hawaii was higher before 2000 than after,5,0,3
29,3,New York and LA both had the highest long distance flights (>2500 miles) in year 1996.,5,1,3
30,3,New York and LA both had the most number of passengers travelling long distance (>2500 miles) in year 2003.,5,0,3
31,3,"There are more flights from Anchorage, Alaska serving more than 160,000 passengers than otherwise",5,1,3
32,3,The average distance from New York since 2000 is higher than before 2000,4,0,3
33,3,"Long distance flights from east coast have decreased since 2005, while from west coast its slightly better",4,1,3
34,3,There are more flights from Atlanta than Pheonix between 1997 and 2004 serving low distances (<2500 miles),4,0,3
35,3,The total number of short distance (<1000 miles) passengers from LA decreased after 2003 compared to 1997-2003,4,1,3
36,3,"Within east coast, New York had the highest short distance flights (<1000 miles) between 2001 and 2003",3,0,3
37,4,Passengers from LA (population 22 mil to 26 mil) after 2005 are more than the passengers between 2000 to 2005,5,1,4
38,4,The number of flights from Honolulu covering more than 2500 miles are higher than the number of flights from LA covering the same distances (> 2500),5,0,4
39,4,"Did 9/11 had an effect on the flights from Chicago? If so, by how much? Verify with intervals of one year before and after 9/11",5,1,4
40,4,There were more flights from Dallas (population range 10-14 million) after 2004 than between 1994-2000,5,0,4
41,4,What could be the reason for the decrease in the number of flights since 2007 compared to previous years? Is it due the decrease in the number of flights for travelling long distances? Or is it related to the passengers?,5,1,4
42,4,Short distance flights (< 2500 miles) from New York (population > 33 million) over the 6 years after 9/11 are significantly higher than before (more than 20% higher),5,0,4
43,4,Are there a correlation (or relationship) between passengers and flights from New York (more than 32 million) over 2006 to 2010 (over periods of one year),6,1,4
44,4,"Between New York (population > 33 million), Chicago (population around 19 million) and DC (9 million), Chicago has the highest number of flights, while New York served more passengers and longer distances",5,0,4
45,4,There is a fall in the number of flights within California after 2000. Did this lead to less number of passengers travelling within the region. ,6,1,4
46,4,"For flights covering over 3500 miles from Honolulu, is there a correlation between passengers and flights over time (and at what level)",6,1,4
47,4,There is no correlation or relationship between the flights and passengers over time for flights connecting central america to east and west coasts (distance: 1000 miles to 2000 miles) serving moderate number of passengers (10k to 20k),6,0,4
48,4,The flights within Texas decreased between 2000-2010 compared to previous years. Was this due to the increase in the long distance flights (> 1500 miles) to west coast?,6,0,4
49,4,The flights within Texas decreased between 2000-2010 compared to previous years. Was this due to the increase in the long distance flights (> 1500 miles) to east coast?,6,1,4
50,4,Houston offered the most number of shor distance flights (<1000 miles) serving more than 30k passengers in both decades (1990-2000 and 2000-2010),5,0,4
